Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime
736942.38,1.57,3.7626356,3.6714797,3.837938,0.62431386,2017-09-04 09:07:12.000000406
736942.42,1.57,3.7653876,3.6742317,3.84069,0.62457106,2017-09-04 10:04:48.000003620
736942.54,1.16,3.7678086,3.6766527,3.843111,0.62206904,2017-09-04 12:57:36.000003222
736942.63,1.32,3.7699896,3.6788337,3.845292,0.61955418,2017-09-04 15:07:12.000000406
736942.75,1.94,3.7874352,3.6962793,3.8627376,0.61850918,2017-09-04 18:00:00.000000000
736942.82,1.16,3.7866042,3.6954482,3.8619065,0.61786629,2017-09-04 19:40:47.999995576
736942.95,1.57,3.7950871,3.7039311,3.8703895,0.61466129,2017-09-04 22:47:59.999995973
736943.02,1.41,3.8031422,3.7119863,3.8784446,0.61313909,2017-09-05 00:28:48.000001607
736943.07,1.11,3.8042424,3.7130865,3.8795448,0.61417035,2017-09-05 01:40:47.999995576
736943.1,1.47,3.8268769,3.7357209,3.9021793,0.61187058,2017-09-05 02:23:59.999997986
736943.17,1.08,3.8448176,3.7536617,3.92012,0.60916944,2017-09-05 04:04:48.000003620
736943.17,1.08,3.8448176,3.7536617,3.92012,0.60820476,2017-09-05 04:04:48.000003620
736943.17,1.08,3.8448176,3.7536617,3.92012,0.61012502,2017-09-05 04:04:48.000003620
736943.17,1.11,3.8601047,3.7689487,3.9354071,0.60916944,2017-09-05 04:04:48.000003620
736943.17,1.11,3.8601047,3.7689487,3.9354071,0.60820476,2017-09-05 04:04:48.000003620
736943.17,1.11,3.8601047,3.7689487,3.9354071,0.61012502,2017-09-05 04:04:48.000003620
736943.17,1.13,3.8594699,3.7683139,3.9347723,0.60916944,2017-09-05 04:04:48.000003620
736943.17,1.13,3.8594699,3.7683139,3.9347723,0.60820476,2017-09-05 04:04:48.000003620
736943.17,1.13,3.8594699,3.7683139,3.9347723,0.61012502,2017-09-05 04:04:48.000003620
