Time,Mag,Log10_SSD,CF1_V,CF2_V,DC,Datetime
737107.05,1.63,3.9261794,3.8350235,4.0014818,0.63210643,2018-02-16 01:12:00.000004026
737107.08,1.6,3.9259322,3.8347763,4.0012346,0.63242145,2018-02-16 01:55:11.999996379
737107.93,1.6,3.9254803,3.8343244,4.0007827,0.6355877,2018-02-16 22:19:12.000004423
737110.27,1.63,3.9164981,3.8253422,3.9918005,0.63840747,2018-02-19 06:28:48.000001607
737111.0,1.63,3.9194023,3.8282464,3.9947047,0.6356913,2018-02-20 00:00:00.000000000
737111.92,1.57,3.9172876,3.8261317,3.99259,0.63503277,2018-02-20 22:04:48.000003620
737112.39,1.84,3.9183887,3.8272328,3.9936911,0.63385333,2018-02-21 09:21:36.000001209
737112.51,2.62,3.9253601,3.8342042,4.0006625,0.63611055,2018-02-21 12:14:24.000000803
737112.61,2.58,3.9309819,3.839826,4.0062843,0.6401053,2018-02-21 14:38:23.999998790
737112.87,1.63,3.9355081,3.8443522,4.0108105,0.63850278,2018-02-21 20:52:47.999999593
737113.68,1.84,3.9366309,3.845475,4.0119333,0.63802662,2018-02-22 16:19:12.000004423
737113.72,1.57,3.935793,3.8446371,4.0110954,0.64041199,2018-02-22 17:16:47.999997589
737114.84,2.46,3.9399197,3.8487637,4.0152221,0.64069015,2018-02-23 20:09:35.999997183
737115.62,2.58,3.9437303,3.8525743,4.0190326,0.63840991,2018-02-24 14:52:47.999999593
737117.94,1.6,3.9394369,3.848281,4.0147393,0.63855692,2018-02-26 22:33:35.999995170
737118.63,2.66,3.944091,3.8529351,4.0193934,0.64144931,2018-02-27 15:07:12.000000406
737118.94,1.63,3.9457841,3.8546281,4.0210865,0.64158641,2018-02-27 22:33:35.999995170
737119.76,1.63,3.940958,3.8498021,4.0162604,0.63544659,2018-02-28 18:14:24.000000803
737120.0,1.6,3.9416229,3.850467,4.0169253,0.63470953,2018-03-01 00:00:00.000000000
737120.62,1.6,3.9413814,3.8502254,4.0166838,0.63426648,2018-03-01 14:52:47.999999593
737120.69,1.94,3.9428211,3.8516652,4.0181235,0.63821688,2018-03-01 16:33:35.999995170
737120.72,1.63,3.9450098,3.8538538,4.0203121,0.64108803,2018-03-01 17:16:47.999997589
737120.79,1.84,3.9464048,3.8552488,4.0217072,0.64459067,2018-03-01 18:57:36.000003222
737121.19,1.53,3.9432872,3.8521313,4.0185896,0.64481363,2018-03-02 04:33:35.999995170
737121.96,1.57,3.9417243,3.8505683,4.0170266,0.64581387,2018-03-02 23:02:23.999996777
737124.1,2.53,3.9531064,3.8619505,4.0284088,0.64754279,2018-03-05 02:23:59.999997986
737126.18,1.53,3.9462384,3.8550825,4.0215408,0.64902585,2018-03-07 04:19:12.000004423
737126.66,1.57,3.9450573,3.8539013,4.0203597,0.64814755,2018-03-07 15:50:24.000002816
737127.99,1.63,3.9427782,3.8516223,4.0180806,0.64782105,2018-03-08 23:45:35.999999196
737128.79,1.6,3.9361239,3.844968,4.0114263,0.64271584,2018-03-09 18:57:36.000003222
737131.64,2.37,3.9281099,3.836954,4.0034123,0.63996115,2018-03-12 15:21:36.000001209
737132.51,1.6,3.9260867,3.8349308,4.0013891,0.64007999,2018-03-13 12:14:24.000000803
737132.59,1.63,3.92663,3.8354741,4.0019324,0.64172107,2018-03-13 14:09:35.999997183
737132.82,1.6,3.9333934,3.8422374,4.0086958,0.63690012,2018-03-13 19:40:47.999995576
737133.67,1.53,3.9298742,3.8387182,4.0051766,0.63532778,2018-03-14 16:04:48.000003620
737133.74,1.6,3.9342059,3.84305,4.0095083,0.63444946,2018-03-14 17:45:35.999999196
737136.49,1.57,3.9253527,3.8341968,4.0006551,0.6379103,2018-03-17 11:45:35.999999196
737137.16,2.09,3.9276023,3.8364463,4.0029047,0.63654198,2018-03-18 03:50:24.000002816
737139.94,1.6,3.9206577,3.8295017,3.9959601,0.63935341,2018-03-20 22:33:35.999995170
737141.61,1.94,3.9177132,3.8265572,3.9930155,0.63845723,2018-03-22 14:38:23.999998790
737142.01,1.53,3.9203742,3.8292182,3.9956766,0.6425336,2018-03-23 00:14:24.000000803
737142.98,1.6,3.9229321,3.8317762,3.9982345,0.64211477,2018-03-23 23:31:11.999998392
737143.01,1.94,3.9280304,3.8368745,4.0033328,0.64162192,2018-03-24 00:14:24.000000803
737145.13,1.6,3.9210631,3.8299072,3.9963655,0.63746267,2018-03-26 03:07:12.000000406
737145.78,1.6,3.9274302,3.8362742,4.0027325,0.63425196,2018-03-26 18:43:12.000002410
737146.59,1.63,3.9380557,3.8468997,4.013358,0.6313605,2018-03-27 14:09:35.999997183
737148.25,1.53,3.931463,3.840307,4.0067654,0.63100301,2018-03-29 06:00:00.000000000
737148.63,2.74,3.938846,3.8476901,4.0141484,0.63161639,2018-03-29 15:07:12.000000406
737148.74,2.58,3.9480484,3.8568924,4.0233508,0.63218675,2018-03-29 17:45:35.999999196
737148.85,1.53,3.9547631,3.8636072,4.0300655,0.63287423,2018-03-29 20:23:59.999997986
737149.13,2.16,3.968106,3.8769501,4.0434084,0.63041347,2018-03-30 03:07:12.000000406
737149.31,1.94,3.9788434,3.8876874,4.0541458,0.62810433,2018-03-30 07:26:24.000004829
737149.4,1.53,3.9727923,3.8816364,4.0480947,0.63088604,2018-03-30 09:36:00.000002013
737153.45,1.84,3.9813151,3.8901592,4.0566175,0.6288348,2018-04-03 10:47:59.999995973
737154.47,1.63,3.9819292,3.8907733,4.0572316,0.6245018,2018-04-04 11:16:47.999997589
737155.23,1.6,4.0075456,3.9163897,4.082848,0.62369187,2018-04-05 05:31:11.999998392
737156.55,1.94,4.0037425,3.9125866,4.0790449,0.61885611,2018-04-06 13:12:00.000004026
737156.86,1.53,4.0004171,3.9092612,4.0757195,0.61666558,2018-04-06 20:38:23.999998790
737157.37,1.57,4.0003573,3.9092014,4.0756597,0.61814317,2018-04-07 08:52:47.999999593
737159.42,1.53,3.9913407,3.9001847,4.0666431,0.61887559,2018-04-09 10:04:48.000003620
737159.48,1.57,3.9914887,3.9003328,4.0667911,0.62140869,2018-04-09 11:31:11.999998392
737159.92,2.0,3.9909821,3.8998261,4.0662845,0.62115607,2018-04-09 22:04:48.000003620
737160.14,1.53,3.9902103,3.8990544,4.0655127,0.62090279,2018-04-10 03:21:36.000001209
737160.31,1.57,3.9900604,3.8989045,4.0653628,0.62464623,2018-04-10 07:26:24.000004829
737160.57,1.53,3.9893508,3.8981948,4.0646532,0.62652288,2018-04-10 13:40:47.999995576
737160.87,1.53,4.0016017,3.9104458,4.0769041,0.62928059,2018-04-10 20:52:47.999999593
737160.97,1.94,3.9970268,3.9058709,4.0723292,0.63139243,2018-04-10 23:16:47.999997589
737161.79,1.6,3.9943015,3.9031455,4.0696039,0.63261677,2018-04-11 18:57:36.000003222
737161.82,1.53,3.9958768,3.9047209,4.0711792,0.63891814,2018-04-11 19:40:47.999995576
737161.99,2.66,4.0046393,3.9134833,4.0799416,0.64101715,2018-04-11 23:45:35.999999196
737162.04,1.84,4.0087361,3.9175802,4.0840385,0.63979487,2018-04-12 00:57:36.000003222
737162.44,1.57,4.0042783,3.9131224,4.0795807,0.64030134,2018-04-12 10:33:35.999995170
737163.62,2.0,4.0033636,3.9122077,4.078666,0.6381348,2018-04-13 14:52:47.999999593
737163.9,1.6,4.0379995,3.9468436,4.1133019,0.62906071,2018-04-13 21:36:00.000002013
737164.25,1.57,4.0370234,3.9458674,4.1123258,0.63272141,2018-04-14 06:00:00.000000000
737166.37,1.57,4.0456951,3.9545391,4.1209974,0.63013133,2018-04-16 08:52:47.999999593
737167.32,2.69,4.0607232,3.9695673,4.1360256,0.63193094,2018-04-17 07:40:47.999995576
737167.65,1.66,4.0616832,3.9705273,4.1369856,0.63199643,2018-04-17 15:36:00.000002013
737169.78,2.66,4.0757812,3.9846253,4.1510836,0.63055608,2018-04-19 18:43:12.000002410
737169.84,1.53,4.0848879,3.9937319,4.1601903,0.63332636,2018-04-19 20:09:35.999997183
737170.09,1.94,4.087132,3.9959761,4.1624344,0.6321594,2018-04-20 02:09:35.999997183
737171.41,1.6,4.092909,4.0017531,4.1682114,0.62952163,2018-04-21 09:50:24.000002816
737172.12,1.6,4.0889856,3.9978297,4.164288,0.62618373,2018-04-22 02:52:47.999999593
737173.9,1.6,4.0843323,3.9931764,4.1596347,0.62281553,2018-04-23 21:36:00.000002013
737174.08,2.62,4.0954885,4.0043326,4.1707909,0.62170347,2018-04-24 01:55:11.999996379
737174.71,1.57,4.0978242,4.0066682,4.1731266,0.61863239,2018-04-24 17:02:23.999996777
737175.77,1.57,4.0785098,3.9873539,4.1538122,0.61532731,2018-04-25 18:28:48.000001607
737177.05,1.84,4.0766714,3.9855154,4.1519737,0.61676891,2018-04-27 01:12:00.000004026
737180.38,1.57,4.0587624,3.9676064,4.1340648,0.62043444,2018-04-30 09:07:12.000000406
737181.67,2.13,4.0544007,3.9632448,4.1297031,0.62021306,2018-05-01 16:04:48.000003620
737182.38,1.6,4.0526489,3.961493,4.1279513,0.6192283,2018-05-02 09:07:12.000000406
737188.51,1.63,4.0325837,3.9414278,4.1078861,0.62129714,2018-05-08 12:14:24.000000803
737190.7,1.6,4.0205379,3.929382,4.0958403,0.61898848,2018-05-10 16:47:59.999995973
737194.46,1.6,4.002739,3.911583,4.0780414,0.61860418,2018-05-14 11:02:23.999996777
737195.18,1.6,4.0007261,3.9095702,4.0760285,0.61896216,2018-05-15 04:19:12.000004423
737196.53,1.84,3.998365,3.9072091,4.0736674,0.61996265,2018-05-16 12:43:12.000002410
737199.49,2.16,3.9892644,3.8981084,4.0645668,0.62465483,2018-05-19 11:45:35.999999196
737201.9,1.84,3.9786493,3.8874934,4.0539517,0.62547036,2018-05-21 21:36:00.000002013
737204.19,2.0,3.9716429,3.8804869,4.0469453,0.62832486,2018-05-24 04:33:35.999995170
737208.13,2.0,3.951246,3.86009,4.0265484,0.62927336,2018-05-28 03:07:12.000000406
737210.23,1.53,3.9449165,3.8537606,4.0202189,0.63467236,2018-05-30 05:31:11.999998392
737213.41,1.94,3.9333838,3.8422279,4.0086862,0.63411675,2018-06-02 09:50:24.000002816
737213.64,1.63,3.9360422,3.8448863,4.0113446,0.63069352,2018-06-02 15:21:36.000001209
737214.15,1.84,3.9444876,3.8533316,4.01979,0.62769714,2018-06-03 03:36:00.000002013
737215.37,1.84,3.9433077,3.8521518,4.0186101,0.62852137,2018-06-04 08:52:47.999999593
737216.04,2.37,3.948891,3.857735,4.0241934,0.63046311,2018-06-05 00:57:36.000003222
737216.52,1.84,3.9488773,3.8577214,4.0241797,0.63018261,2018-06-05 12:28:48.000001607
